STATE/UT,Year,Murder,Rape,Kidnapping and Abduction,Foeticide,Abetment of suicide,Exposure and abandonment,Procuration of minor girls,Buying of girls for prostitution,Selling of girls for prostitution,Prohibition of child marriage act,Other Crimes,Total, LITERACY RATE %   (Male), LITERACY RATE % Female, LITERACY RATE %  Average,Area(km2),Population Male,Population Female,Population Total,Rural,Urban
UTTARAKHAND,2010,3,10,9,0,0,0,0,0,0,0,9,31,93.62,66.99,80.47,53483.00,4963559.03,4787343.76,191115976.39,151397874.63,39718101.76
UTTARAKHAND,2011,9,23,39,0,0,0,0,0,0,0,12,83,94.78,67.81,81.46,53483.00,5031559.79,4852930.37,193734265.27,153472025.52,40262239.75
WEST BENGAL,2001,3,12,86,0,0,0,9,3,2,0,52,167,77.00,59.60,68.60,88752.00,41487694.00,38733477.00,80176197.00,57748946.00,22427251.00
WEST BENGAL,2002,4,16,94,0,0,0,14,0,1,0,46,175,78.05,60.42,69.54,88752.00,42230323.72,39426806.24,81611350.93,58782652.13,22828698.79
WEST BENGAL,2003,2,16,32,0,0,0,12,18,6,1,61,148,79.12,61.24,70.49,88752.00,42965131.36,40112832.67,83031388.43,59805470.28,23225918.15
WEST BENGAL,2004,2,19,99,0,1,0,13,9,12,8,43,206,80.18,62.06,71.43,88752.00,43691242.08,40790739.54,84434618.90,60816182.73,23618436.17
WEST BENGAL,2005,2,6,102,0,1,0,20,2,44,2,57,236,81.23,62.88,72.37,88752.00,44399040.20,41451549.52,85802459.72,61801404.89,24001054.83
WEST BENGAL,2006,3,20,156,0,0,3,77,4,114,6,49,432,82.30,63.70,73.32,88752.00,45082785.42,42089903.38,87123817.60,62753146.52,24370671.08
WEST BENGAL,2007,15,92,88,1,0,1,54,6,55,9,40,361,83.36,64.52,74.27,88752.00,45750010.64,42712833.95,88413250.10,63681893.09,24731357.01
WEST BENGAL,2008,19,129,196,1,0,1,53,2,41,6,65,513,84.42,65.34,75.21,88752.00,46404235.79,43323627.48,89677559.58,64592544.16,25085015.42
WEST BENGAL,2009,20,109,199,0,0,0,41,2,49,0,64,484,85.48,66.17,76.16,88752.00,47053895.09,43930158.26,90933045.41,65496839.78,25436205.63
WEST BENGAL,2010,16,73,332,0,3,0,200,48,115,0,93,880,86.54,66.99,77.10,88752.00,47707944.24,44540787.46,92197014.75,66407245.85,25789768.89
WEST BENGAL,2011,46,252,660,0,3,1,298,0,87,25,78,1450,87.61,67.81,78.05,88752.00,48361543.07,45150996.25,93460113.85,67317025.12,26143088.72
A & N ISLANDS,2001,0,0,0,0,0,0,0,0,0,0,0,0,86.30,75.20,81.30,8249.00,192985.00,163280.00,356152.00,239954.00,116198.00
A & N ISLANDS,2002,0,0,0,0,0,0,0,0,0,0,0,0,87.48,76.23,82.41,8249.00,196439.43,166202.71,362527.12,244249.18,118277.94
A & N ISLANDS,2003,1,2,1,0,0,0,0,0,0,0,2,6,88.67,77.27,83.53,8249.00,199857.48,169094.64,368835.09,248499.11,120335.98
A & N ISLANDS,2004,1,8,3,0,0,0,0,0,0,0,2,14,89.86,78.30,84.65,8249.00,203235.07,171952.34,375068.41,252698.75,122369.66
A & N ISLANDS,2005,1,2,2,0,0,2,0,0,0,0,1,8,91.05,79.34,85.77,8249.00,206527.48,174737.97,381144.51,256792.47,124352.05
A & N ISLANDS,2006,0,5,4,0,0,0,0,0,0,0,0,9,92.24,80.38,86.90,8249.00,209708.00,177428.93,387014.14,260747.07,126267.07
A & N ISLANDS,2007,0,3,7,0,0,0,0,0,0,0,0,10,93.43,81.41,88.02,8249.00,212811.68,180054.88,392741.95,264606.13,128135.82
A & N ISLANDS,2008,2,8,12,0,0,1,0,0,0,0,24,47,94.62,82.45,89.13,8249.00,215854.89,182629.66,398358.16,268390.00,129968.16
A & N ISLANDS,2009,1,12,10,0,0,0,0,0,0,0,18,41,95.81,83.48,90.26,8249.00,218876.85,185186.48,403935.17,272147.46,131787.72
A & N ISLANDS,2010,1,15,9,3,0,0,0,0,0,0,23,51,97.00,84.52,91.38,8249.00,221919.24,187760.57,409549.87,275930.30,133619.57
A & N ISLANDS,2011,1,9,11,0,0,2,0,0,0,0,8,31,98.19,85.56,92.50,8249.00,224959.54,190332.89,415160.70,279710.55,135450.15
